rootIdx	rootAuth	nodeIdx1	nodeAuth1	nodeIdx2	nodeAuth2	nodeIdx3	nodeAuth3	nodeIdx4	nodeAuth4	nodeIdx5	nodeAuth5	nodeIdx6	nodeAuth6	nodeIdx7	nodeAuth7	nodeIdx8	nodeAuth8	nodeIdx9	nodeAuth9	nodeIdx10	nodeAuth10	nodeIdx11	nodeAuth11	nodeIdx12	nodeAuth12	nodeIdx13	nodeAuth13	nodeIdx14	nodeAuth14	nodeIdx15	nodeAuth15	nodeIdx16	nodeAuth16	nodeIdx17	nodeAuth17	nodeIdx18	nodeAuth18	nodeIdx19	nodeAuth19
1370.0	154668	35379.0	159249	35391.0	157984.0	35477.0	155221.0	35585.0	157984.0																														
1370.0	154668	35379.0	159249	35656.0	166574.0	35670.0	166574.0																																
1370.0	154668	35379.0	159249	36139.0	166794.0																																		
1370.0	154668	35379.0	159249	36144.0	166794.0																																		
1370.0	154668	35379.0	159249	36754.0	158461.0	38968.0	165032.0																																
1372.0	154668	1378001.0	1342918																																				
1373.0	154668	12211.0	160729																																				
1374.0	154668	25264.0	160579	25266.0	160579.0	25271.0	160579.0	25273.0	160579.0																														
1377.0	154668	4967.0	156724																																				
1377.0	154668	27543.0	157984	27547.0	157984.0																																		
1377.0	154668	36634.0	159249	36644.0	159249.0																																		
1377.0	154668	37965.0	159249	37985.0	159249.0	38069.0	190898.0																																
1377.0	154668	198853.0	376209																																				
1377.0	154668	242281.0	424101																																				
1377.0	154668	456546.0	611590																																				
1377.0	154668	1619097.0	1774457																																				
1379.0	154668	102238.0	271040																																				
1380.0	154668	442221.0	699881																																				
1380.0	154668	442253.0	699881	442421.0	699881.0																																		
1381.0	154668	21762.0	159249	21764.0	159249.0																																		
1387.0	154668	13298.0	162070																																				
1387.0	154668	15953.0	158461	15977.0	160579.0																																		
1389.0	154668	545770.0	219815	545798.0	219815.0	545822.0	219815.0																																
1392.0	154668	15339.0	158461	15369.0	154704.0	15423.0	155813.0																																
1392.0	154668	15371.0	160919	72129.0	160919.0																																		
1392.0	154668	88098.0	100006																																				
1392.0	154668	2154969.0	2314245																																				
1400.0	154668	19190.0	159249	19358.0	165901.0																																		
1400.0	154668	19190.0	159249	19434.0	155828.0	19436.0	165972.0																																
1400.0	154668	19190.0	159249	19505.0	166027.0																																		
1400.0	154668	19617.0	159249	19631.0	159249.0	19841.0	158461.0	19846.0	160919.0																														
1400.0	154668	19190.0	159249	20088.0	166378.0																																		
1400.0	154668	19190.0	159249	22080.0	165483.0																																		
1400.0	154668	19190.0	159249	38374.0	166574.0	38378.0	166574.0																																
1400.0	154668	19617.0	159249	19631.0	159249.0	19641.0	159249.0	47072.0	165032.0																														
1400.0	154668	19617.0	159249	19631.0	159249.0	19841.0	158461.0	47177.0	165032.0																														
1400.0	154668	19190.0	159249	165362.0	230865.0																																		
1400.0	154668	19190.0	159249	303878.0	335738.0																																		
1405.0	154668	695489.0	942078																																				
1407.0	154668	9272.0	158461	9345.0	159673.0																																		
1407.0	154668	9272.0	158461	9387.0	155401.0	9389.0	155401.0	13623.0	161880.0	13762.0	155813.0																												
1407.0	154668	9272.0	158461	9387.0	155401.0	9389.0	155401.0	13621.0	161880.0	15657.0	161880.0																												
1407.0	154668	9272.0	158461	9387.0	155401.0	63298.0	225484.0																																
1407.0	154668	9272.0	158461	9387.0	155401.0	64266.0	225484.0																																
1407.0	154668	9272.0	158461	9387.0	155401.0	65406.0	225484.0																																
1409.0	154668	12201.0	160729																																				
1410.0	154668	21642.0	159249	21826.0	159249.0	22873.0	160491.0																																
1411.0	154668	54557.0	213654																																				
1411.0	154668	1676789.0	1758141																																				
1412.0	154668	21460.0	159249																																				
1412.0	154668	21464.0	159249	21479.0	166794.0	21483.0	166794.0																																
1412.0	154668	21464.0	159249	21679.0	159249.0																																		
1412.0	154668	21464.0	159249	21947.0	165416.0																																		
1412.0	154668	21464.0	159249	22239.0	156207.0	23280.0	165032.0																																
1412.0	154668	24515.0	160579	24517.0	160579.0	24519.0	160579.0	24521.0	160579.0	24528.0	160579.0	24538.0	160579.0	24543.0	160579.0																								
1412.0	154668	36471.0	159249	36498.0	165343.0																																		
1412.0	154668	21464.0	159249	393298.0	156924.0																																		
1413.0	154668	2931.0	155434	2933.0	155434.0																																		
1413.0	154668	17603.0	159249	17607.0	159249.0	17629.0	158781.0																																
1413.0	154668	17603.0	159249	17660.0	163272.0																																		
1413.0	154668	17603.0	159249	17607.0	159249.0	17681.0	158215.0																																
1413.0	154668	17603.0	159249	17607.0	159249.0	17765.0	159249.0	17778.0	159249.0																														
1417.0	154668	174022.0	338690																																				
1417.0	154668	1494913.0	1036798																																				
1428.0	154668	97809.0	265535																																				
1435.0	154668	15890.0	158461	241537.0	219815.0																																		
1437.0	154668	6074.0	157761																																				
1437.0	154668	10718.0	160306																																				
1437.0	154668	12591.0	161456																																				
1437.0	154668	13941.0	158461																																				
1437.0	154668	13943.0	160919																																				
1437.0	154668	14875.0	163233																																				
1437.0	154668	58079.0	218910																																				
1437.0	154668	82263.0	248718	82269.0	248718.0																																		
1437.0	154668	82271.0	248718																																				
1437.0	154668	92362.0	245368																																				
1437.0	154668	93664.0	261437																																				
1437.0	154668	131722.0	300638																																				
1437.0	154668	135553.0	304409																																				
1437.0	154668	172426.0	290190																																				
1437.0	154668	173406.0	304409																																				
1437.0	154668	449865.0	702273	453549.0	712897.0																																		
1437.0	154668	456498.0	611590																																				
1437.0	154668	658153.0	956597																																				
1437.0	154668	82263.0	248718	920446.0	1018829.0																																		
1437.0	154668	959562.0	1271038																																				
1437.0	154668	1349189.0	896582																																				
1437.0	154668	1848857.0	360646																																				
1437.0	154668	1863645.0	1995069																																				
1444.0	154668	1362057.0	1022190																																				
1445.0	154668	87753.0	100006																																				
1445.0	154668	90842.0	259169																																				
1445.0	154668	132474.0	154704																																				
1447.0	154668	5354.0	157127																																				
1447.0	154668	8946.0	159446																																				
1447.0	154668	10728.0	160318																																				
1447.0	154668	59186.0	220400																																				
1447.0	154668	93483.0	261437	93614.0	261437.0	139462.0	261437.0																																
1447.0	154668	187029.0	360278																																				
1447.0	154668	245641.0	427081																																				
1447.0	154668	277817.0	187001																																				
1447.0	154668	927646.0	1093330	927874.0	1250862.0																																		
1447.0	154668	1129073.0	1093330																																				
1447.0	154668	1139045.0	1093330																																				
1447.0	154668	1590081.0	1758141																																				
1450.0	154668	31875.0	160579	31886.0	160579.0																																		
1450.0	154668	31875.0	160579	31890.0	160579.0	31897.0	160579.0																																
1450.0	154668	31875.0	160579	31890.0	160579.0	31892.0	160579.0	31899.0	160579.0	31905.0	160579.0																												
1450.0	154668	31875.0	160579	31907.0	160579.0	31909.0	160579.0																																
1450.0	154668	243801.0	219815																																				
1451.0	154668	221942.0	100008	362922.0	593574.0																																		
1451.0	154668	555577.0	833265																																				
1451.0	154668	912370.0	1018829																																				
1451.0	154668	912594.0	1018829																																				
1451.0	154668	992093.0	1316482																																				
1451.0	154668	1189198.0	1458106																																				
1451.0	154668	1010101.0	1328441	1189206.0	1458106.0																																		
1454.0	154668	21992.0	167432																																				
1455.0	154668	420261.0	219815																																				
